Date,PCR
2011/8/12,-1.61482189
2011/8/15,-1.612606429
2011/8/16,-1.614376149
2011/8/17,-1.61840605
2011/8/18,-1.623021673
2011/8/19,-1.634362392
2011/8/22,-1.637118344
2011/8/23,-1.627343337
2011/8/24,-1.620018203
2011/8/25,-1.628344988
2011/8/26,-1.625239689
2011/8/29,-1.616290618
2011/8/30,-1.621370578
2011/8/31,-1.62084496
2011/9/1,-1.622634968
2011/9/2,-1.628169934
2011/9/6,-1.629015191
2011/9/7,-1.626018727
2011/9/8,-1.629263642
2011/9/9,-1.6327508
2011/9/12,-1.629711656
2011/9/13,-1.627437535
2011/9/14,-1.619233939
2011/9/15,-1.614331205
2011/9/16,-1.610374794
2011/9/19,-1.60522505
2011/9/20,-1.608899557
2011/9/21,-1.61842972
2011/9/22,-1.611047816
2011/9/23,-1.602509201
2011/9/26,-1.593113711
2011/9/27,-1.602272394
2011/9/28,-1.599516075
2011/9/29,-1.598443003
2011/9/30,-1.597981988
2011/10/3,-1.60655031
2011/10/4,-1.589947017
2011/10/5,-1.59389913
2011/10/6,-1.596610781
2011/10/7,-1.599613467
2011/10/10,-1.59422673
2011/10/11,-1.597803285
2011/10/12,-1.594669303
2011/10/13,-1.593764594
2011/10/14,-1.596846844
2011/10/17,-1.601798028
2011/10/18,-1.59634498
2011/10/19,-1.59412708
2011/10/20,-1.590978559
2011/10/21,-1.586937304
2011/10/24,-1.591737608
2011/10/25,-1.602812875
2011/10/26,-1.590670242
2011/10/27,-1.588793088
2011/10/28,-1.585855276
2011/10/31,-1.593383162
2011/11/1,-1.601447285
2011/11/2,-1.595326745
2011/11/3,-1.592838291
2011/11/4,-1.597297544
2011/11/7,-1.598779936
2011/11/8,-1.596626327
2011/11/9,-1.607400994
2011/11/10,-1.6059031
2011/11/11,-1.600677693
2011/11/14,-1.601661723
2011/11/15,-1.603150531
2011/11/16,-1.614140804
2011/11/17,-1.608485471
2011/11/18,-1.605529947
2011/11/21,-1.609433626
2011/11/22,-1.61540739
2011/11/23,-1.618376573
2011/11/25,-1.617705247
2011/11/28,-1.611213952
2011/11/29,-1.615769133
2011/11/30,-1.601260089
2011/12/1,-1.598964757
2011/12/2,-1.60191214
2011/12/5,-1.596676357
2011/12/6,-1.597982079
2011/12/7,-1.592225573
2011/12/8,-1.596683573
2011/12/9,-1.590034178
2011/12/12,-1.590778521
2011/12/13,-1.601044097
2011/12/14,-1.587689025
2011/12/15,-1.583515538
2011/12/16,-1.58540367
2011/12/19,-1.591193266
2011/12/20,-1.588625389
2011/12/21,-1.592163608
2011/12/22,-1.591115274
2011/12/23,-1.58781812
2011/12/27,-1.592478812
2011/12/28,-1.592927715
2011/12/29,-1.588702486
2011/12/30,-1.590247513
2012/1/3,-1.59772942
2012/1/4,-1.599364938
2012/1/5,-1.592448715
2012/1/6,-1.593959425
2012/1/9,-1.593140308
2012/1/10,-1.593054697
2012/1/11,-1.589423901
2012/1/12,-1.582863045
2012/1/13,-1.582364337
2012/1/17,-1.586001997
2012/1/18,-1.579743393
2012/1/19,-1.579080573
2012/1/20,-1.573674547
2012/1/23,-1.577984055
2012/1/24,-1.578470597
2012/1/25,-1.576609621
2012/1/26,-1.581078108
2012/1/27,-1.582388906
2012/1/30,-1.580334808
2012/1/31,-1.580143752
2012/2/1,-1.576417956
2012/2/2,-1.573716922
2012/2/3,-1.573389499
2012/2/6,-1.575048651
2012/2/7,-1.576453892
2012/2/8,-1.576122898
2012/2/9,-1.57869474
2012/2/10,-1.577077235
2012/2/13,-1.577847468
2012/2/14,-1.577433835
2012/2/15,-1.582165415
2012/2/16,-1.579643958
2012/2/17,-1.579785272
2012/2/21,-1.586781664
2012/2/22,-1.590151057
2012/2/23,-1.591096473
2012/2/24,-1.594896736
2012/2/27,-1.591799549
2012/2/28,-1.585524565
2012/2/29,-1.587254209
2012/3/1,-1.590953826
2012/3/2,-1.586870458
2012/3/5,-1.588078041
2012/3/6,-1.587750522
2012/3/7,-1.587611461
2012/3/8,-1.586460522
2012/3/9,-1.587151091
2012/3/12,-1.585072737
2012/3/13,-1.579942194
2012/3/14,-1.576776941
2012/3/15,-1.572927052
2012/3/16,-1.580084893
2012/3/19,-1.579572577
2012/3/20,-1.574220893
2012/3/21,-1.575846708
2012/3/22,-1.574363933
2012/3/23,-1.577790344
2012/3/26,-1.572944249
2012/3/27,-1.573647575
2012/3/28,-1.570452838
2012/3/29,-1.563707971
2012/3/30,-1.565075397
2012/4/2,-1.569228302
2012/4/3,-1.569237486
2012/4/4,-1.564728502
2012/4/5,-1.568509772
2012/4/9,-1.570696299
2012/4/10,-1.571377141
2012/4/11,-1.571224133
2012/4/12,-1.570636468
2012/4/13,-1.572580566
2012/4/16,-1.568651129
2012/4/17,-1.564307764
2012/4/18,-1.561161289
2012/4/19,-1.564638224
2012/4/20,-1.566321502
2012/4/23,-1.568747978
2012/4/24,-1.56734862
2012/4/25,-1.563203593
2012/4/26,-1.563069781
2012/4/27,-1.563863461
2012/4/30,-1.565753646
2012/5/1,-1.564787293
2012/5/2,-1.560375512
2012/5/3,-1.557729609
2012/5/4,-1.55445821
2012/5/7,-1.553185214
2012/5/8,-1.552424489
2012/5/9,-1.554776525
2012/5/10,-1.55333722
2012/5/11,-1.551331596
2012/5/14,-1.551530403
2012/5/15,-1.554258425
2012/5/16,-1.554076765
2012/5/17,-1.558659795
2012/5/18,-1.561621945
2012/5/21,-1.557095239
2012/5/22,-1.552590912
2012/5/23,-1.544025827
2012/5/24,-1.544923889
2012/5/25,-1.547548332
2012/5/29,-1.540330411
2012/5/30,-1.536448814
2012/5/31,-1.532276823
2012/6/1,-1.532132243
2012/6/4,-1.534865924
2012/6/5,-1.532202735
2012/6/6,-1.528333496
2012/6/7,-1.527777728
2012/6/8,-1.521970705
2012/6/11,-1.523799795
2012/6/12,-1.518399073
2012/6/13,-1.518801826
2012/6/14,-1.517970302
2012/6/15,-1.516358032
2012/6/18,-1.514648536
2012/6/19,-1.514078694
2012/6/20,-1.506544177
2012/6/21,-1.503930874
2012/6/22,-1.504241945
2012/6/25,-1.514247882
2012/6/26,-1.515919589
2012/6/27,-1.515299346
2012/6/28,-1.50932229
2012/6/29,-1.522415821
2012/7/2,-1.519647164
2012/7/3,-1.531515355
2012/7/5,-1.534988834
2012/7/6,-1.528512333
2012/7/9,-1.536949364
2012/7/10,-1.533828396
2012/7/11,-1.538679602
2012/7/12,-1.542816199
2012/7/13,-1.540253406
2012/7/16,-1.547831116
2012/7/17,-1.546165015
2012/7/18,-1.547894611
2012/7/19,-1.556811974
2012/7/20,-1.558900699
2012/7/23,-1.550880343
2012/7/24,-1.55238449
2012/7/25,-1.554844772
2012/7/26,-1.54876733
2012/7/27,-1.545165005
2012/7/30,-1.547064052
2012/7/31,-1.544162645
2012/8/1,-1.545755711
2012/8/2,-1.543786439
2012/8/3,-1.547030703
2012/8/6,-1.547987369
2012/8/7,-1.550815575
2012/8/8,-1.551272473
2012/8/9,-1.552981553
2012/8/10,-1.548825875
2012/8/13,-1.5473829
2012/8/14,-1.548596484
2012/8/15,-1.552459732
2012/8/16,-1.552818722
2012/8/17,-1.552229407
2012/8/20,-1.553319403
2012/8/21,-1.558690629
2012/8/22,-1.559242536
2012/8/23,-1.561151764
2012/8/24,-1.556212126
2012/8/27,-1.553820284
